5,سلام این شارژر ۲۵ ولت و خیلی خوبه شارژمی‌کنه در بازار قیمتش گرانتره ممنون از دیجی کالا من بازارم دیجی کالاست به هیچ بازار دیگه نمیرم چون معلول جسمی حرکتی هستم کاشکی همه کارها را داشت
5,"با توجه به قیمت اش خوبه و کیقیت خوبی داره. البته اینکه چقدر کار کنه رو باید در مرور زمان دید. این اصلی نیست ولی های کپیه."
5,جنس عالی با اصلیش هیچ فرقی تو کیفتش نیست من کاملا راضیم😘😘😘😘😘😘😘
1,به اسم اصلی دادن ۲۲۸ تومن اخه این درسته
4,خوبه
4,کاربردی 
5,مناسب سامسونگf235g
5,عـــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــالی
5,بد نیست
5,بسیار عالی
1,خیلی سری سوخت 
1,با توجه به اینکه ظاهر مناسبی شبیه اصل داره ولی در کمتر از یک ماه سوخت ، و فکر نمی‌کنم اصلاً گزینه جالبی باشد برای استفاده.
4,واقعا سوپر فست شارژ هست و حدود یک ساعت و بیست دقیقه گوشی رو شارژ کامل می کنه ولی بعضی وقتا قطع می شد که بعد از اینکه تبدیلش رو عوض کردم فقط یه بار اینجوری شد و دیگه من ندیدم قطع بشه ولی به نظر اگر از اول شارژر دو شاخه بگیرید بهتره اونطوری مشکل تبدیل هم ندارید
3,ظاهر وبسته بندی خوبی داره که تو نگاه اول تصمیم گرفتم یکی دیگه بخرم ،ولی وقتی استفاده کردم دیدم موقعی شارژر به گوشی متصله ، صفحه ی گوشی (A14) کاملا،، هنگ کرد شاید برای گوشی دیگه مشکلی نداشته باشه چون تاچ گوشی A14 نرمال نیست در کل شارژر ارجینال بهتره.
1,واسه گوشی سامسونگ a14 گرفتم باید یه رابط براش بخرید کاملا سوخته و جریان برق داخلش نیست
5,خوبه با کیفیت هست
5,سوپر فست شارژ هست و خیلی خوب شارژ میکنه ولی شماره سریال با جعبه همخوانی ندارد
4,فعلا که خوب شارژ می‌کنه
5,عالی از هر نظر
4,خوبه راضی بودم
5,به نظرم خوبه
1,خیلی دیر شارژ میکنه اصلا خوب نیست گول نخورید نخرید اصلا خوب نیست تقریبا ۲ ساعته شارژ میکنه
4,بد نبود
5,عالی عالی
5,اصلی وباکیفیت
4,خوبه جنسش درت کار میکنه
5,خیلی عالی
2,من مرجوع کردم .موقع سفارش نزده بود غیراصل هست.الان دیدم زدن.به نظرم هزینه کنید و شارژر اصل بخرید تا به باتری گوشی آسیب نزنه
5,امتیاز من ۱۰۰خیلی عالیه
5,در کل عالیه 
3,خوب بود
5,عالی. حتی به گوشی شیائومی زدم حالت توربو رو روشن کرد.. در خریدش شک نکنید
5,شاید اصل نباشه ولی گوشی رو خوب شارژ میکنه  و موقع شارژ هم می نویسه شارژ فوق سریع.
5,به قیمت بود و با کیفیت
5,سریغ شارژ میکنه برای A14 گرفتم
2,اصلا یشنهادش نمیکنم.متاسفانه ایراداتی داره این شارژر . سرعت شارژش بالاست(در حالت عادی و نه فست شارژ- خودم بلدم ! :×) و به همون سرعتی که شارژ میکنه، شارژ گوشی به سرعت خالی میشه . تا قبل از این با شارژر برادرم که اصلی بود شارژ میکردم و باطریم دو روز کار میکرد . ضمنا در حالت فست شارژ هم که متصل میکنم، اون صدای فست شارژ رو نمیده گوشی و رنگ لوگوی شارژ تغییری نمیکنه. مطمئنم که به باطریم صدمه خواهد زد این شارژر.
4,خوبه
5,خوب
5,کالا اصل بود 
5,من که راضیم از انتخابم حتما پیشنهاد میکنم
4,خوبه ولی مبدل نداره بایدباهزینه خودت تهیه کنی
